y_over_H,nu_t_La0.2,nu_t_La0.3
-0.776471,0.16304,0.23086
-0.780392,0.16132,0.22607
-0.784314,0.15966,0.22089
-0.788235,0.15785,0.21571
-0.792157,0.15574,0.21092
-0.796078,0.15362,0.20573
-0.800000,0.15130,0.20094
-0.803922,0.14906,0.18701
-0.807843,0.14666,0.18623
-0.811765,0.14395,0.18384
-0.815686,0.14129,0.18223
-0.819608,0.13853,0.17967
-0.823529,0.13580,0.17874
-0.827451,0.13294,0.16545
-0.831373,0.12988,0.16066
-0.835294,0.12676,0.15548
-0.839216,0.12356,0.15069
-0.843137,0.12030,0.14551
-0.847059,0.11684,0.14072
-0.850980,0.11358,0.13553
-0.854902,0.11013,0.13075
-0.858824,0.10648,0.12556
-0.862745,0.10302,0.12077
-0.866667,0.09937,0.11579
-0.870588,0.09552,0.11100
-0.874510,0.08798,0.10621
-0.878431,0.08526,0.10161
-0.882353,0.07992,0.09035
-0.886275,0.07943,0.08874
-0.890196,0.07751,0.08642
-0.894118,0.07341,0.08532
-0.898039,0.06958,0.08313
-0.901961,0.06591,0.08274
-0.905882,0.06226,0.06980
-0.909804,0.05840,0.06528
-0.913725,0.05456,0.06116
-0.917647,0.05054,0.05687
-0.921569,0.04671,0.05296
-0.925490,0.04309,0.04887
-0.929412,0.03936,0.04487
-0.933333,0.03591,0.04122
-0.937255,0.03230,0.03737
-0.941176,0.02899,0.03388
-0.945098,0.02574,0.03026
-0.949020,0.02267,0.02700
-0.952941,0.01968,0.02362
-0.956863,0.01689,0.02049
-0.960784,0.01413,0.01765
-0.964706,0.01171,0.01496
-0.968627,0.00951,0.01244
-0.972549,0.00737,0.01007
-0.976471,0.00669,0.00787
-0.980392,0.00669,0.00608
-0.984314,0.00669,0.00435
-0.988235,0.00669,0.00282
-0.992157,0.00669,0.00295
-0.996078,0.00669,0.00295
-1.000000,0.00669,0.00295
